depth	min68.2%	max68.2%	best	accrate
3.58	4992	5793	5394	7977.03
3.59	5079	5867	5474	7772.32
3.6	5164	5937	5552	7568.91
3.61	5248	6006	5627	7366.8
3.62	5327	6075	5701	7165.99
3.63	5406	6142	5773	6966.47
3.64	5482	6206	5842	6768.26
3.65	5556	6269	5910	6571.35
3.66	5629	6329	5976	6375.74
3.67	5695	6388	6040	6181.42
3.68	5758	6446	6101	5988.41
3.69	5823	6502	6161	5796.69
3.7	5885	6558	6219	5606.28
3.71	5944	6611	6275	5417.16
3.72	6000	6664	6329	5229.35
3.73	6053	6714	6382	5042.83
3.74	6104	6764	6432	4857.62
3.75	6153	6810	6481	4673.7
3.76	6202	6856	6527	4491.08
3.77	6248	6900	6572	4309.77
3.78	6292	6943	6616	4129.75
3.79	6331	6982	6657	3951.03
3.8	6369	7022	6696	3773.61
3.81	6407	7059	6734	3597.49
3.82	6443	7093	6770	3422.67
3.83	6476	7131	6804	3249.15
3.84	6509	7166	6837	3076.93
3.85	6539	7196	6868	2906.01
3.86	6568	7226	6897	2736.39
3.87	6595	7255	6924	2568.07
3.88	6620	7282	6950	2401.05
3.89	6644	7306	6974	2235.32
3.9	6664	7328	6996	2070.9
3.91	6684	7349	7017	1907.78
3.92	6701	7370	7036	1745.95
3.93	6718	7388	7053	1585.43
3.94	6732	7406	7069	1426.21
3.95	6745	7421	7083	1268.28
3.96	6756	7436	7096	1111.66
3.97	6764	7448	7107	956.33
3.98	6773	7459	7117	802.3
3.99	6779	7469	7125	649.58
4	6784	7477	7131	498.15
4.01	6786	7485	7136	348.02
4.02	6787	7490	7140	199.2
4.03	6787	7494	7142	51.67
4.04	6786	7495	7142	-94.56
4.05	6783	7496	7141	-239.49
4.06	6779	7496	7139	-383.12
4.07	6774	7493	7135	-525.45
4.08	6768	7489	7130	-666.48
4.09	6760	7483	7123	-806.21
4.1	6752	7475	7115	-944.64
4.11	6742	7466	7106	-1081.77
4.12	6729	7457	7095	-1217.6
4.13	6715	7447	7083	-1352.14
4.14	6701	7435	7069	-1485.37
4.15	6684	7420	7054	-1617.3
4.16	6667	7406	7038	-1747.93
4.17	6649	7388	7021	-1877.27
4.18	6629	7371	7002	-2005.3
4.19	6606	7352	6982	-2132.04
4.2	6583	7332	6960	-2257.47
4.21	6560	7311	6938	-2381.61
4.22	6535	7288	6914	-2504.44
4.23	6508	7263	6889	-2625.98
4.24	6483	7238	6863	-2746.22
4.25	6453	7212	6835	-2865.15
4.26	6424	7186	6807	-2982.79
4.27	6393	7160	6777	-3099.13
4.28	6357	7132	6746	-3214.17
4.29	6323	7103	6714	-3327.91
4.3	6288	7071	6680	-3440.34
4.31	6251	7039	6646	-3551.48
4.32	6213	7005	6610	-3661.32
4.33	6175	6970	6574	-3769.86
4.34	6135	6938	6536	-3877.1
4.35	6094	6899	6497	-3983.01
4.36	6052	6863	6458	-4087.42
4.37	6009	6826	6417	-4190.31
4.38	5965	6788	6375	-4291.66
4.39	5920	6747	6332	-4391.49
4.4	5874	6705	6288	-4489.79
4.41	5827	6665	6243	-4586.56
4.42	5779	6624	6197	-4681.81
4.43	5729	6580	6150	-4775.52
4.44	5680	6536	6103	-4867.71
4.45	5627	6489	6054	-4958.37
4.46	5575	6444	6004	-5047.5
4.47	5520	6397	5954	-5135.1
4.48	5464	6348	5903	-5221.18
4.49	5408	6299	5850	-5305.72
4.5	5350	6253	5797	-5388.74
4.51	5293	6206	5743	-5470.23
4.52	5234	6154	5689	-5550.2
4.53	5174	6102	5633	-5628.63
4.54	5114	6050	5577	-5705.54
4.55	5052	5999	5520	-5780.91
4.56	4991	5945	5462	-5854.76
4.57	4929	5891	5403	-5927.08
4.58	4864	5837	5344	-5997.88
4.59	4799	5783	5284	-6067.14
4.6	4731	5728	5224	-6134.88
4.61	4664	5671	5162	-6201.09
4.62	4594	5616	5100	-6265.77
4.63	4526	5558	5038	-6328.92
4.64	4455	5500	4974	-6390.54
4.65	4385	5444	4910	-6450.64
4.66	4313	5385	4846	-6509.21
4.67	4244	5326	4781	-6566.25
4.68	4171	5268	4715	-6621.76
4.69	4097	5207	4649	-6675.74
4.7	4023	5145	4582	-6728.2
4.71	3948	5085	4515	-6779.12
4.72	3874	5028	4447	-6828.52
4.73	3800	4967	4379	-6876.39
4.74	3725	4905	4310	-6922.73
4.75	3647	4845	4241	-6967.55
4.76	3570	4782	4171	-7010.83
4.77	3491	4720	4101	-7052.59
4.78	3415	4659	4030	-7092.82
4.79	3337	4597	3960	-7131.52
4.8	3259	4530	3888	-7168.7
4.81	3181	4466	3816	-7204.34
4.82	3099	4401	3744	-7238.46
4.83	3018	4335	3672	-7271.05
4.84	2936	4270	3599	-7302.11
4.85	2854	4205	3526	-7331.64
4.86	2772	4139	3453	-7359.64
4.87	2690	4075	3379	-7386.12
4.88	2608	4009	3306	-7411.07
4.89	2526	3944	3231	-7434.49
