depth	min68.2%	max68.2%	best	accrate
3.58	14153	23311	19390	-23549.08
3.59	14007	23017	19155	-23355.37
3.6	13863	22714	18921	-23162.3
3.61	13715	22418	18690	-22969.85
3.62	13572	22122	18460	-22778.03
3.63	13430	21836	18232	-22586.84
3.64	13290	21546	18006	-22396.28
3.65	13151	21257	17782	-22206.34
3.66	13012	20972	17560	-22017.04
3.67	12876	20693	17340	-21828.36
3.68	12740	20406	17122	-21640.32
3.69	12608	20129	16906	-21452.9
3.7	12482	19856	16691	-21266.11
3.71	12355	19584	16478	-21079.95
3.72	12233	19312	16268	-20894.41
3.73	12108	19043	16059	-20709.51
3.74	11984	18779	15852	-20525.23
3.75	11860	18514	15646	-20341.59
3.76	11734	18254	15443	-20158.57
3.77	11613	17997	15241	-19976.18
3.78	11492	17740	15041	-19794.42
3.79	11377	17488	14844	-19613.28
3.8	11258	17233	14647	-19432.78
3.81	11132	16984	14453	-19252.9
3.82	11009	16732	14261	-19073.66
3.83	10894	16489	14070	-18895.04
3.84	10781	16248	13881	-18717.05
3.85	10672	16005	13694	-18539.69
3.86	10562	15767	13508	-18362.96
3.87	10454	15529	13325	-18186.85
3.88	10344	15296	13143	-18011.38
3.89	10234	15061	12963	-17836.53
3.9	10123	14829	12784	-17662.32
3.91	10020	14600	12608	-17488.73
3.92	9914	14378	12433	-17315.77
3.93	9807	14152	12260	-17143.44
3.94	9705	13928	12088	-16971.73
3.95	9595	13710	11919	-16800.66
3.96	9486	13496	11750	-16630.21
3.97	9385	13276	11584	-16460.39
3.98	9288	13065	11420	-16291.21
3.99	9193	12862	11257	-16122.65
4	9100	12653	11095	-15954.72
4.01	9003	12444	10936	-15787.41
4.02	8905	12238	10778	-15620.74
4.03	8810	12037	10622	-15454.69
4.04	8712	11837	10467	-15289.28
4.05	8619	11642	10314	-15124.49
4.06	8529	11449	10163	-14960.33
4.07	8438	11258	10014	-14796.8
4.08	8350	11062	9866	-14633.9
4.09	8264	10871	9719	-14471.62
4.1	8172	10687	9575	-14309.98
4.11	8082	10500	9431	-14148.96
4.12	7993	10322	9290	-13988.57
4.13	7905	10137	9150	-13828.81
4.14	7814	9962	9012	-13669.68
4.15	7731	9788	8875	-13511.18
4.16	7645	9620	8740	-13353.31
4.17	7562	9454	8606	-13196.06
4.18	7479	9282	8474	-13039.45
4.19	7397	9118	8344	-12883.46
4.2	7318	8955	8215	-12728.1
4.21	7243	8794	8088	-12573.37
4.22	7164	8641	7962	-12419.27
4.23	7083	8490	7838	-12265.8
4.24	7004	8341	7715	-12112.95
4.25	6925	8194	7594	-11960.74
4.26	6846	8046	7475	-11809.15
4.27	6766	7905	7357	-11658.19
4.28	6690	7770	7240	-11507.86
4.29	6614	7636	7125	-11358.16
4.3	6530	7498	7011	-11209.09
4.31	6445	7368	6899	-11060.65
4.32	6356	7242	6789	-10912.83
4.33	6271	7114	6679	-10765.64
4.34	6177	6993	6572	-10619.09
4.35	6080	6876	6466	-10473.16
4.36	5975	6770	6361	-10327.86
4.37	5867	6675	6258	-10183.18
4.38	5757	6583	6156	-10039.14
4.39	5640	6498	6055	-9895.73
4.4	5527	6419	5956	-9752.94
4.41	5417	6341	5859	-9610.78
4.42	5306	6263	5763	-9469.25
4.43	5198	6188	5668	-9328.35
4.44	5090	6119	5575	-9188.08
4.45	4979	6052	5483	-9048.44
4.46	4868	5987	5392	-8909.42
4.47	4763	5928	5303	-8771.04
4.48	4660	5871	5216	-8633.28
4.49	4553	5813	5129	-8496.15
4.5	4450	5756	5044	-8359.65
4.51	4346	5703	4961	-8223.78
4.52	4244	5649	4879	-8088.54
4.53	4141	5600	4798	-7953.92
4.54	4045	5551	4718	-7819.94
4.55	3944	5504	4640	-7686.58
4.56	3846	5456	4563	-7553.85
4.57	3751	5416	4487	-7421.75
4.58	3657	5377	4413	-7290.28
4.59	3565	5334	4340	-7159.44
4.6	3476	5292	4269	-7029.23
4.61	3384	5254	4198	-6899.64
4.62	3296	5218	4129	-6770.69
4.63	3209	5178	4062	-6642.36
4.64	3122	5141	3995	-6514.66
4.65	3035	5111	3930	-6387.59
4.66	2950	5075	3866	-6261.15
4.67	2865	5042	3804	-6135.33
4.68	2783	5007	3742	-6010.15
4.69	2703	4980	3682	-5885.59
4.7	2623	4948	3623	-5761.67
4.71	2545	4919	3566	-5638.37
4.72	2468	4892	3509	-5515.7
4.73	2395	4863	3454	-5393.66
4.74	2319	4836	3400	-5272.24
4.75	2251	4808	3348	-5151.46
4.76	2182	4781	3296	-5031.3
4.77	2116	4757	3246	-4911.78
4.78	2048	4731	3197	-4792.88
4.79	1983	4707	3149	-4674.61
4.8	1921	4685	3102	-4556.97
4.81	1858	4663	3056	-4439.96
4.82	1801	4643	3012	-4323.57
4.83	1741	4620	2969	-4207.82
4.84	1682	4599	2927	-4092.69
4.85	1623	4581	2886	-3978.19
4.86	1567	4561	2846	-3864.32
4.87	1513	4544	2807	-3751.08
4.88	1460	4529	2770	-3638.47
4.89	1407	4511	2733	-3526.49
4.9	1358	4496	2698	-3415.13
4.91	1309	4481	2664	-3304.41
4.92	1263	4469	2631	-3194.31
4.93	1214	4456	2599	-3084.84
4.94	1165	4441	2568	-2976
4.95	1121	4429	2538	-2867.79
4.96	1079	4418	2510	-2760.21
4.97	1037	4406	2482	-2653.25
4.98	999	4395	2456	-2546.92
4.99	962	4387	2430	-2441.23
5	926	4377	2406	-2336.16
5.01	889	4369	2382	-2231.72
5.02	854	4361	2360	-2127.91
5.03	817	4354	2339	-2024.73
5.04	784	4349	2319	-1922.17
5.05	753	4348	2299	-1820.25
5.06	724	4344	2281	-1718.95
5.07	694	4343	2264	-1618.28
5.08	666	4340	2248	-1518.24
5.09	643	4337	2233	-1418.83
5.1	620	4337	2218	-1320.05
5.11	599	4336	2205	-1221.9
5.12	578	4337	2193	-1124.37
5.13	560	4338	2182	-1027.47
5.14	542	4343	2171	-931.21
5.15	525	4344	2162	-835.57
5.16	509	4346	2154	-740.56
5.17	495	4350	2146	-646.18
5.18	478	4353	2140	-552.42
5.19	464	4356	2134	-459.3
5.2	454	4360	2130	-366.8
5.21	443	4365	2126	-274.93
5.22	433	4370	2123	-183.7
5.23	424	4375	2122	-93.09
5.24	414	4382	2121	-3.1
5.25	407	4390	2121	86.25
5.26	401	4397	2121	174.97
5.27	397	4405	2123	263.07
5.28	396	4415	2126	350.53
5.29	395	4425	2129	437.37
5.3	393	4436	2134	523.58
5.31	391	4446	2139	609.16
5.32	391	4459	2145	694.12
5.33	393	4472	2152	778.44
5.34	395	4483	2160	862.13
5.35	400	4497	2168	945.2
5.36	406	4511	2178	1027.64
5.37	411	4525	2188	1109.45
5.38	417	4541	2199	1190.63
5.39	424	4557	2211	1271.18
5.4	432	4574	2224	1351.1
5.41	443	4591	2237	1430.4
5.42	455	4610	2252	1509.06
5.43	468	4628	2267	1587.1
5.44	480	4646	2283	1664.51
5.45	493	4664	2299	1741.29
5.46	509	4683	2317	1817.44
5.47	527	4703	2335	1892.97
5.48	545	4723	2354	1967.86
5.49	563	4745	2373	2042.13
5.5	581	4766	2394	2115.76
5.51	600	4788	2415	2188.77
5.52	623	4811	2437	2261.15
5.53	645	4834	2459	2332.9
5.54	667	4857	2483	2404.02
5.55	691	4881	2507	2474.52
5.56	717	4905	2532	2544.38
5.57	742	4931	2557	2613.62
5.58	768	4957	2583	2682.23
5.59	795	4984	2610	2750.21
5.6	822	5011	2637	2817.56
5.61	851	5039	2666	2884.28
5.62	880	5067	2695	2950.37
5.63	911	5095	2724	3015.84
5.64	942	5123	2754	3080.68
5.65	976	5152	2785	3144.88
5.66	1012	5180	2816	3208.46
5.67	1047	5208	2849	3271.41
5.68	1082	5239	2881	3333.73
5.69	1116	5269	2915	3395.43
5.7	1153	5300	2949	3456.49
5.71	1190	5332	2983	3516.93
5.72	1227	5362	3018	3576.74
5.73	1264	5392	3054	3635.91
5.74	1303	5425	3090	3694.46
5.75	1344	5456	3127	3752.39
5.76	1387	5487	3165	3809.68
5.77	1429	5518	3203	3866.34
5.78	1471	5550	3242	3922.38
5.79	1516	5583	3281	3977.78
5.8	1559	5618	3321	4032.56
5.81	1603	5652	3361	4086.71
5.82	1646	5687	3402	4140.23
5.83	1691	5722	3443	4193.13
5.84	1734	5757	3485	4245.39
5.85	1779	5792	3528	4297.02
5.86	1824	5829	3571	4348.03
5.87	1871	5865	3614	4398.41
5.88	1920	5901	3658	4448.16
5.89	1970	5937	3703	4497.28
5.9	2022	5974	3747	4545.77
5.91	2073	6010	3793	4593.63
5.92	2124	6047	3839	4640.87
5.93	2175	6085	3885	4687.47
5.94	2229	6124	3932	4733.45
5.95	2284	6162	3979	4778.8
5.96	2337	6200	4027	4823.52
5.97	2392	6238	4076	4867.61
5.98	2447	6276	4124	4911.07
5.99	2500	6314	4173	4953.91
6	2555	6354	4223	4996.11
6.01	2611	6393	4273	5037.69
6.02	2668	6432	4323	5078.64
6.03	2729	6473	4374	5118.96
6.04	2786	6513	4425	5158.65
6.05	2842	6555	4477	5197.71
6.06	2898	6596	4529	5236.15
6.07	2959	6638	4581	5273.95
6.08	3019	6681	4634	5311.13
6.09	3079	6724	4687	5347.68
6.1	3141	6767	4740	5383.6
6.11	3202	6809	4794	5418.89
6.12	3265	6850	4848	5453.55
6.13	3328	6891	4903	5487.58
6.14	3391	6932	4958	5520.99
6.15	3453	6974	5013	5553.76
6.16	3516	7018	5069	5585.91
6.17	3580	7063	5124	5617.43
6.18	3642	7107	5181	5648.32
6.19	3705	7152	5237	5678.58
6.2	3769	7197	5294	5708.22
6.21	3834	7241	5351	5737.22
6.22	3898	7284	5408	5765.6
6.23	3963	7328	5466	5793.34
6.24	4033	7373	5524	5820.46
6.25	4101	7417	5582	5846.95
6.26	4169	7462	5641	5872.81
6.27	4237	7508	5699	5898.05
6.28	4305	7553	5758	5922.65
6.29	4374	7601	5818	5946.63
6.3	4442	7646	5877	5969.97
6.31	4511	7692	5937	5992.69
6.32	4580	7737	5997	6014.78
6.33	4652	7782	6057	6036.24
6.34	4724	7829	6117	6057.07
6.35	4800	7875	6178	6077.28
6.36	4872	7922	6238	6096.85
6.37	4943	7967	6299	6115.8
6.38	5011	8012	6361	6134.12
6.39	5079	8058	6422	6151.8
6.4	5148	8105	6483	6168.87
6.41	5221	8152	6545	6185.3
6.42	5293	8200	6607	6201.1
6.43	5364	8246	6669	6216.28
6.44	5437	8293	6731	6230.82
6.45	5508	8340	6794	6244.74
6.46	5583	8387	6856	6258.03
6.47	5659	8434	6919	6270.69
6.48	5735	8482	6981	6282.72
6.49	5809	8530	7044	6294.12
6.5	5881	8578	7107	6304.9
6.51	5956	8626	7170	6315.04
6.52	6030	8674	7233	6324.56
6.53	6105	8721	7296	6333.45
6.54	6178	8769	7360	6341.71
6.55	6249	8815	7423	6349.34
6.56	6321	8864	7487	6356.34
6.57	6395	8912	7550	6362.71
6.58	6470	8959	7614	6368.46
6.59	6545	9007	7678	6373.58
6.6	6622	9055	7741	6378.06
6.61	6698	9103	7805	6381.92
6.62	6776	9151	7869	6385.15
6.63	6851	9200	7933	6387.76
6.64	6928	9248	7997	6389.73
6.65	7002	9297	8061	6391.07
6.66	7080	9345	8124	6391.79
6.67	7156	9393	8188	6391.88
6.68	7230	9440	8252	6391.34
6.69	7303	9487	8316	6390.17
6.7	7381	9534	8380	6388.37
6.71	7457	9582	8444	6385.94
6.72	7532	9630	8508	6382.89
6.73	7608	9676	8572	6379.2
6.74	7686	9724	8635	6374.89
6.75	7760	9771	8699	6369.95
6.76	7839	9817	8763	6364.38
6.77	7914	9864	8827	6358.18
6.78	7986	9911	8890	6351.35
6.79	8058	9958	8954	6343.9
6.8	8136	10005	9017	6335.81
6.81	8213	10054	9080	6327.1
6.82	8291	10101	9144	6317.76
6.83	8365	10148	9207	6307.79
6.84	8440	10195	9270	6297.19
6.85	8511	10242	9333	6285.96
