depth	min68.2%	max68.2%	best	accrate
3.58	5002	5800	5404	-20095.87
3.59	4803	5600	5203	-20014.24
3.6	4605	5402	5003	-19932.28
3.61	4403	5204	4803	-19849.99
3.62	4202	5013	4605	-19767.37
3.63	3997	4825	4407	-19684.42
3.64	3793	4638	4210	-19601.15
3.65	3588	4450	4014	-19517.54
3.66	3383	4267	3819	-19433.6
3.67	3175	4084	3625	-19349.34
3.68	2966	3902	3431	-19264.74
3.69	2758	3725	3239	-19179.82
3.7	2552	3551	3047	-19094.57
3.71	2343	3379	2856	-19008.99
3.72	2135	3207	2666	-18923.08
3.73	1926	3037	2476	-18836.84
3.74	1716	2868	2288	-18750.27
3.75	1513	2700	2101	-18663.37
3.76	1308	2533	1914	-18576.15
3.77	1101	2369	1728	-18488.59
3.78	896	2206	1543	-18400.7
3.79	688	2048	1359	-18312.49
3.8	481	1887	1176	-18223.95
3.81	275	1730	994	-18135.07
3.82	67	1569	813	-18045.87
3.83	-141	1417	632	-17956.34
3.84	-342	1259	453	-17866.48
3.85	-544	1105	274	-17776.29
3.86	-747	951	96	-17685.77
3.87	-947	794	-81	-17594.93
3.88	-1150	643	-257	-17503.75
3.89	-1349	492	-432	-17412.24
3.9	-1549	343	-606	-17320.41
3.91	-1747	194	-779	-17228.24
3.92	-1945	47	-951	-17135.75
3.93	-2143	-98	-1123	-17042.93
3.94	-2338	-239	-1293	-16949.78
3.95	-2533	-380	-1463	-16856.3
3.96	-2730	-524	-1631	-16762.49
3.97	-2925	-664	-1799	-16668.35
3.98	-3116	-808	-1965	-16573.88
3.99	-3308	-949	-2131	-16479.08
4	-3500	-1089	-2296	-16383.96
4.01	-3691	-1227	-2460	-16288.5
4.02	-3879	-1365	-2623	-16192.72
4.03	-4069	-1502	-2785	-16096.6
4.04	-4258	-1638	-2946	-16000.16
4.05	-4446	-1775	-3106	-15903.39
4.06	-4628	-1906	-3265	-15806.28
4.07	-4812	-2040	-3423	-15708.85
4.08	-4996	-2172	-3580	-15611.09
4.09	-5177	-2300	-3736	-15513.01
4.1	-5360	-2429	-3891	-15414.59
4.11	-5540	-2559	-4045	-15315.84
4.12	-5717	-2686	-4198	-15216.77
4.13	-5893	-2813	-4351	-15117.36
4.14	-6070	-2937	-4502	-15017.63
4.15	-6245	-3057	-4652	-14917.56
4.16	-6420	-3180	-4801	-14817.17
4.17	-6593	-3302	-4949	-14716.45
4.18	-6768	-3424	-5096	-14615.4
4.19	-6939	-3546	-5243	-14514.02
4.2	-7109	-3667	-5388	-14412.31
4.21	-7278	-3785	-5532	-14310.27
4.22	-7447	-3903	-5675	-14207.9
4.23	-7612	-4021	-5817	-14105.2
4.24	-7781	-4140	-5958	-14002.18
4.25	-7946	-4257	-6098	-13898.82
4.26	-8118	-4373	-6237	-13795.14
4.27	-8278	-4486	-6375	-13691.13
4.28	-8440	-4599	-6512	-13586.78
4.29	-8602	-4711	-6648	-13482.11
4.3	-8760	-4822	-6783	-13377.11
4.31	-8919	-4935	-6916	-13271.78
4.32	-9076	-5042	-7049	-13166.12
4.33	-9232	-5146	-7181	-13060.13
4.34	-9387	-5255	-7311	-12953.82
4.35	-9540	-5359	-7441	-12847.17
4.36	-9694	-5465	-7569	-12740.2
4.37	-9848	-5568	-7697	-12632.89
4.38	-9998	-5670	-7823	-12525.26
4.39	-10149	-5771	-7948	-12417.29
4.4	-10296	-5869	-8073	-12309
4.41	-10441	-5966	-8196	-12200.38
4.42	-10592	-6063	-8318	-12091.43
4.43	-10736	-6161	-8439	-11982.15
4.44	-10876	-6258	-8558	-11872.54
4.45	-11019	-6356	-8677	-11762.6
4.46	-11160	-6447	-8795	-11652.34
4.47	-11301	-6541	-8911	-11541.74
4.48	-11441	-6632	-9027	-11430.82
4.49	-11578	-6724	-9141	-11319.56
4.5	-11715	-6812	-9254	-11207.98
4.51	-11851	-6899	-9366	-11096.07
4.52	-11986	-6989	-9477	-10983.82
4.53	-12115	-7075	-9587	-10871.25
4.54	-12243	-7161	-9696	-10758.35
4.55	-12375	-7243	-9803	-10645.12
4.56	-12504	-7328	-9910	-10531.56
4.57	-12635	-7410	-10015	-10417.68
4.58	-12760	-7492	-10119	-10303.46
4.59	-12885	-7572	-10222	-10188.91
4.6	-13011	-7650	-10324	-10074.04
4.61	-13133	-7729	-10425	-9958.84
4.62	-13256	-7809	-10524	-9843.3
4.63	-13378	-7884	-10623	-9727.44
4.64	-13499	-7959	-10720	-9611.25
4.65	-13617	-8033	-10816	-9494.73
4.66	-13733	-8104	-10911	-9377.88
4.67	-13847	-8178	-11005	-9260.7
4.68	-13958	-8243	-11098	-9143.19
4.69	-14069	-8314	-11189	-9025.35
4.7	-14179	-8384	-11279	-8907.19
4.71	-14291	-8451	-11368	-8788.69
4.72	-14398	-8515	-11456	-8669.87
4.73	-14506	-8577	-11543	-8550.71
4.74	-14614	-8641	-11629	-8431.23
4.75	-14718	-8707	-11713	-8311.42
4.76	-14822	-8771	-11796	-8191.28
4.77	-14924	-8831	-11878	-8070.81
4.78	-15025	-8896	-11959	-7950.01
4.79	-15124	-8954	-12038	-7828.88
4.8	-15220	-9011	-12116	-7707.42
4.81	-15317	-9067	-12193	-7585.63
4.82	-15413	-9126	-12269	-7463.52
4.83	-15508	-9182	-12344	-7341.07
4.84	-15603	-9236	-12417	-7218.3
4.85	-15696	-9290	-12489	-7095.19
4.86	-15785	-9342	-12560	-6971.76
4.87	-15872	-9391	-12630	-6848
4.88	-15959	-9437	-12699	-6723.91
4.89	-16047	-9487	-12766	-6599.49
4.9	-16132	-9534	-12832	-6474.74
4.91	-16216	-9582	-12897	-6349.66
4.92	-16297	-9627	-12960	-6224.25
4.93	-16377	-9675	-13022	-6098.52
4.94	-16455	-9723	-13083	-5972.45
4.95	-16530	-9765	-13143	-5846.06
4.96	-16603	-9807	-13202	-5719.33
4.97	-16678	-9850	-13259	-5592.28
4.98	-16748	-9891	-13315	-5464.9
4.99	-16817	-9928	-13369	-5337.18
5	-16883	-9967	-13423	-5209.14
5.01	-16952	-10006	-13475	-5080.77
5.02	-17019	-10042	-13526	-4952.07
5.03	-17086	-10075	-13575	-4823.05
5.04	-17153	-10105	-13623	-4693.69
5.05	-17217	-10137	-13670	-4564
5.06	-17278	-10170	-13716	-4433.99
5.07	-17336	-10199	-13760	-4303.64
5.08	-17393	-10231	-13803	-4172.97
5.09	-17451	-10261	-13845	-4041.97
5.1	-17503	-10284	-13885	-3910.63
5.11	-17555	-10310	-13925	-3778.97
5.12	-17605	-10332	-13962	-3646.98
5.13	-17654	-10354	-13999	-3514.66
5.14	-17702	-10375	-14034	-3382.01
5.15	-17749	-10396	-14068	-3249.04
5.16	-17795	-10416	-14100	-3115.73
5.17	-17840	-10435	-14131	-2982.09
5.18	-17881	-10450	-14161	-2848.13
5.19	-17920	-10465	-14190	-2713.83
5.2	-17962	-10476	-14217	-2579.21
5.21	-18000	-10493	-14243	-2444.26
5.22	-18035	-10508	-14267	-2308.97
5.23	-18071	-10517	-14290	-2173.36
5.24	-18103	-10528	-14312	-2037.42
5.25	-18135	-10534	-14332	-1901.15
5.26	-18165	-10538	-14351	-1764.56
5.27	-18191	-10547	-14369	-1627.63
5.28	-18219	-10553	-14385	-1490.37
5.29	-18244	-10559	-14400	-1352.79
5.3	-18266	-10563	-14414	-1214.87
5.31	-18291	-10564	-14426	-1076.63
5.32	-18310	-10566	-14437	-938.05
5.33	-18326	-10566	-14446	-799.15
5.34	-18344	-10567	-14454	-659.92
5.35	-18358	-10565	-14461	-520.36
5.36	-18369	-10562	-14466	-380.47
5.37	-18380	-10557	-14470	-240.25
5.38	-18389	-10552	-14472	-99.7
5.39	-18397	-10547	-14473	41.18
5.4	-18403	-10542	-14473	182.38
5.41	-18408	-10534	-14471	323.92
5.42	-18413	-10524	-14467	465.78
5.43	-18414	-10513	-14463	607.98
5.44	-18414	-10502	-14457	750.5
5.45	-18412	-10488	-14449	893.35
5.46	-18409	-10474	-14440	1036.53
5.47	-18401	-10458	-14430	1180.04
5.48	-18393	-10442	-14418	1323.88
5.49	-18385	-10424	-14405	1468.05
5.5	-18375	-10405	-14390	1612.55
5.51	-18363	-10386	-14374	1757.38
5.52	-18350	-10364	-14357	1902.53
5.53	-18333	-10342	-14337	2048.02
5.54	-18315	-10322	-14317	2193.83
5.55	-18296	-10296	-14295	2339.98
5.56	-18274	-10271	-14272	2486.45
5.57	-18250	-10244	-14247	2633.25
5.58	-18224	-10217	-14220	2780.38
5.59	-18197	-10186	-14193	2927.84
5.6	-18169	-10155	-14163	3075.63
5.61	-18140	-10121	-14133	3223.75
5.62	-18108	-10087	-14100	3372.2
5.63	-18075	-10055	-14067	3520.97
5.64	-18041	-10019	-14031	3670.08
5.65	-18005	-9982	-13995	3819.51
5.66	-17968	-9944	-13957	3969.28
5.67	-17929	-9906	-13917	4119.37
5.68	-17887	-9867	-13876	4269.79
5.69	-17844	-9824	-13833	4420.54
5.7	-17798	-9779	-13789	4571.63
5.71	-17750	-9736	-13743	4723.04
5.72	-17701	-9690	-13696	4874.77
5.73	-17651	-9643	-13647	5026.84
5.74	-17597	-9595	-13597	5179.24
5.75	-17541	-9546	-13545	5331.97
5.76	-17486	-9496	-13492	5485.02
5.77	-17428	-9445	-13437	5638.41
5.78	-17367	-9391	-13380	5792.12
5.79	-17306	-9336	-13323	5946.16
5.8	-17242	-9280	-13263	6100.54
5.81	-17176	-9224	-13202	6255.24
5.82	-17106	-9166	-13140	6410.27
5.83	-17035	-9106	-13075	6565.63
5.84	-16960	-9044	-13010	6721.32
5.85	-16886	-8983	-12943	6877.33
5.86	-16813	-8921	-12874	7033.68
5.87	-16734	-8856	-12803	7190.36
5.88	-16654	-8790	-12732	7347.36
5.89	-16574	-8724	-12658	7504.7
5.9	-16491	-8657	-12583	7662.36
5.91	-16406	-8588	-12506	7820.35
5.92	-16321	-8516	-12428	7978.67
5.93	-16233	-8442	-12348	8137.33
5.94	-16144	-8367	-12267	8296.31
5.95	-16052	-8292	-12184	8455.61
5.96	-15960	-8218	-12100	8615.25
5.97	-15865	-8140	-12013	8775.22
5.98	-15766	-8061	-11926	8935.52
5.99	-15666	-7982	-11836	9096.14
6	-15564	-7902	-11745	9257.1
6.01	-15461	-7822	-11653	9418.38
6.02	-15356	-7739	-11559	9580
6.03	-15249	-7655	-11463	9741.94
6.04	-15140	-7569	-11365	9904.21
6.05	-15028	-7481	-11266	10066.81
6.06	-14914	-7393	-11166	10229.74
6.07	-14798	-7305	-11063	10393
6.08	-14681	-7214	-10959	10556.59
6.09	-14562	-7121	-10854	10720.5
6.1	-14441	-7028	-10747	10884.75
6.11	-14316	-6934	-10638	11049.33
6.12	-14189	-6838	-10527	11214.23
6.13	-14062	-6741	-10415	11379.47
6.14	-13932	-6644	-10301	11545.03
6.15	-13800	-6545	-10186	11710.92
6.16	-13667	-6445	-10069	11877.14
6.17	-13531	-6344	-9950	12043.69
6.18	-13392	-6241	-9830	12210.57
6.19	-13252	-6138	-9707	12377.78
6.2	-13110	-6033	-9584	12545.32
6.21	-12966	-5926	-9458	12713.19
6.22	-12820	-5818	-9331	12881.38
6.23	-12672	-5709	-9202	13049.91
6.24	-12522	-5599	-9072	13218.76
6.25	-12370	-5487	-8940	13387.94
6.26	-12216	-5373	-8806	13557.46
6.27	-12058	-5258	-8670	13727.3
6.28	-11899	-5142	-8533	13897.47
6.29	-11738	-5024	-8394	14067.97
6.3	-11575	-4906	-8253	14238.8
6.31	-11410	-4786	-8111	14409.96
6.32	-11243	-4665	-7967	14581.45
6.33	-11074	-4543	-7821	14753.26
6.34	-10902	-4420	-7673	14925.41
6.35	-10727	-4295	-7524	15097.88
6.36	-10551	-4168	-7373	15270.69
6.37	-10373	-4040	-7220	15443.82
6.38	-10194	-3911	-7066	15617.28
6.39	-10013	-3780	-6910	15791.07
6.4	-9828	-3648	-6752	15965.2
6.41	-9643	-3514	-6592	16139.65
6.42	-9456	-3380	-6431	16314.42
6.43	-9268	-3245	-6268	16489.53
6.44	-9076	-3108	-6103	16664.97
6.45	-8881	-2969	-5936	16840.74
6.46	-8684	-2828	-5768	17016.83
6.47	-8486	-2686	-5598	17193.26
6.48	-8284	-2543	-5426	17370.01
6.49	-8082	-2399	-5252	17547.09
6.5	-7877	-2256	-5076	17724.51
6.51	-7672	-2110	-4899	17902.25
6.52	-7462	-1962	-4720	18080.32
6.53	-7251	-1815	-4539	18258.72
6.54	-7034	-1666	-4357	18437.45
6.55	-6815	-1516	-4172	18616.5
