"ID","C14_age","Cal_BP","error","reservoir","depth"
2,NA,6500,400,NA,4.55
3,NA,7400,500,NA,7.05
4,10200,NA,90,NA,7.25
5,11078,NA,49,NA,7.32
6,11541,NA,49,NA,7.78
8,13690,NA,195,NA,8.63
