depth	min68.2%	max68.2%	best	accrate
3.58	5004	5798	5401	1659.8
3.59	5028	5808	5417	1653.53
3.6	5051	5820	5434	1647.26
3.61	5073	5829	5450	1640.99
3.62	5095	5842	5467	1634.72
3.63	5116	5853	5483	1628.45
3.64	5138	5863	5499	1622.18
3.65	5160	5873	5516	1615.91
3.66	5180	5883	5532	1609.64
3.67	5202	5893	5548	1603.37
3.68	5222	5904	5564	1597.1
3.69	5244	5915	5580	1590.83
3.7	5265	5926	5596	1584.56
3.71	5285	5940	5612	1578.3
3.72	5304	5950	5627	1572.03
3.73	5323	5962	5643	1565.76
3.74	5343	5975	5659	1559.49
3.75	5363	5986	5674	1553.22
3.76	5382	5998	5690	1546.95
3.77	5400	6011	5705	1540.68
3.78	5417	6023	5721	1534.41
3.79	5435	6034	5736	1528.14
3.8	5453	6047	5751	1521.87
3.81	5469	6062	5767	1515.6
3.82	5486	6074	5782	1509.33
3.83	5503	6089	5797	1503.06
3.84	5521	6100	5812	1496.79
3.85	5536	6114	5827	1490.53
3.86	5552	6128	5842	1484.26
3.87	5567	6141	5857	1477.99
3.88	5581	6155	5871	1471.72
3.89	5596	6170	5886	1465.45
3.9	5612	6184	5901	1459.18
3.91	5627	6199	5915	1452.91
3.92	5642	6214	5930	1446.64
3.93	5658	6228	5944	1440.37
3.94	5672	6243	5959	1434.1
3.95	5686	6258	5973	1427.83
3.96	5700	6272	5987	1421.56
3.97	5714	6286	6002	1415.29
3.98	5726	6301	6016	1409.02
3.99	5739	6317	6030	1402.75
4	5752	6332	6044	1396.49
4.01	5765	6349	6058	1390.22
4.02	5778	6365	6072	1383.95
4.03	5790	6380	6086	1377.68
4.04	5802	6395	6099	1371.41
4.05	5813	6411	6113	1365.14
4.06	5825	6427	6127	1358.87
4.07	5835	6444	6140	1352.6
4.08	5845	6460	6154	1346.33
4.09	5855	6475	6167	1340.06
4.1	5865	6491	6181	1333.79
4.11	5876	6507	6194	1327.52
4.12	5887	6523	6207	1321.25
4.13	5898	6540	6221	1314.98
4.14	5907	6558	6234	1308.72
4.15	5917	6573	6247	1302.45
4.16	5927	6590	6260	1296.18
4.17	5936	6607	6273	1289.91
4.18	5947	6623	6286	1283.64
4.19	5956	6640	6299	1277.37
4.2	5965	6656	6311	1271.1
4.21	5974	6673	6324	1264.83
4.22	5983	6689	6337	1258.56
4.23	5992	6706	6349	1252.29
4.24	6002	6722	6362	1246.02
4.25	6009	6740	6374	1239.75
4.26	6018	6756	6387	1233.48
4.27	6028	6772	6399	1227.21
4.28	6036	6788	6411	1220.95
4.29	6044	6805	6423	1214.68
4.3	6052	6821	6436	1208.41
4.31	6059	6837	6448	1202.14
4.32	6067	6853	6460	1195.87
4.33	6074	6869	6472	1189.6
4.34	6082	6885	6484	1183.33
4.35	6088	6900	6495	1072.33
4.36	6095	6914	6506	858.14
4.37	6100	6927	6515	646.3
4.38	6104	6938	6521	436.79
4.39	6104	6945	6526	229.61
4.4	6104	6951	6528	24.78
4.41	6101	6955	6528	-177.73
4.42	6097	6957	6526	-377.89
4.43	6090	6957	6522	-575.72
4.44	6082	6955	6517	-771.21
4.45	6071	6951	6509	-964.37
4.46	6058	6944	6499	-1155.19
4.47	6045	6935	6488	-1343.68
4.48	6027	6925	6474	-1529.82
4.49	6008	6912	6459	-1713.64
4.5	5987	6899	6442	-1895.11
4.51	5966	6884	6423	-2074.25
4.52	5943	6867	6402	-2251.06
4.53	5918	6846	6380	-2425.53
4.54	5889	6822	6355	-2597.66
4.55	5861	6799	6330	-2767.46
4.56	5831	6774	6302	-2934.92
4.57	5799	6748	6272	-3100.04
4.58	5766	6721	6241	-3262.83
4.59	5730	6693	6209	-3423.28
4.6	5691	6661	6175	-3581.39
4.61	5652	6629	6139	-3737.17
4.62	5611	6593	6101	-3890.62
4.63	5568	6557	6063	-4041.73
4.64	5524	6519	6022	-4190.5
4.65	5480	6482	5980	-4336.93
4.66	5433	6444	5937	-4481.03
4.67	5385	6402	5892	-4622.79
4.68	5336	6360	5846	-4762.22
4.69	5285	6317	5798	-4899.31
4.7	5233	6273	5749	-5034.07
4.71	5178	6227	5699	-5166.48
4.72	5121	6181	5647	-5296.57
4.73	5062	6133	5594	-5424.31
4.74	5000	6083	5540	-5549.72
4.75	4939	6032	5484	-5672.8
4.76	4876	5979	5428	-5793.54
4.77	4812	5925	5370	-5911.94
4.78	4747	5870	5311	-6028
4.79	4682	5816	5250	-6141.73
4.8	4615	5760	5189	-6253.13
4.81	4547	5702	5126	-6362.18
4.82	4477	5646	5063	-6468.91
4.83	4407	5585	4998	-6573.29
4.84	4336	5526	4932	-6675.34
4.85	4263	5465	4866	-6775.05
4.86	4191	5402	4798	-6872.43
4.87	4115	5340	4729	-6967.47
4.88	4040	5277	4660	-7060.18
4.89	3962	5212	4589	-7150.55
4.9	3884	5145	4517	-7238.58
4.91	3807	5080	4445	-7324.28
4.92	3729	5015	4372	-7407.64
4.93	3649	4947	4298	-7488.66
4.94	3567	4877	4223	-7567.35
4.95	3482	4810	4147	-7643.7
4.96	3398	4741	4071	-7717.72
4.97	3313	4672	3994	-7789.4
4.98	3226	4602	3916	-7858.74
4.99	3139	4534	3837	-7925.75
5	3052	4464	3758	-7990.42
5.01	2967	4391	3678	-8052.76
5.02	2880	4319	3597	-8112.76
5.03	2791	4250	3516	-8170.42
5.04	2699	4178	3435	-8225.75
5.05	2608	4107	3352	-8278.74
5.06	2516	4034	3269	-8329.39
5.07	2424	3962	3186	-8377.71
5.08	2331	3887	3102	-8423.69
5.09	2238	3815	3018	-8467.34
5.1	2143	3740	2934	-8508.65
5.11	2049	3664	2848	-8547.63
5.12	1952	3590	2763	-8584.27
5.13	1856	3514	2677	-8618.57
5.14	1759	3438	2591	-8650.53
5.15	1662	3361	2504	-8680.16
5.16	1563	3285	2418	-8707.46
5.17	1467	3208	2331	-8732.42
5.18	1368	3129	2243	-8755.04
5.19	1267	3052	2156	-8775.32
5.2	1167	2977	2068	-8793.27
5.21	1071	2898	1980	-8808.89
5.22	971	2818	1892	-8822.17
5.23	872	2739	1804	-8833.11
5.24	773	2660	1715	-8841.71
