depth	min68.2%	max68.2%	best	accrate
3.58	4995	5799	5397	8014.97
3.59	5082	5870	5478	7809.29
3.6	5169	5944	5556	7604.91
3.61	5250	6013	5632	7401.84
3.62	5330	6082	5706	7200.06
3.63	5408	6148	5778	6999.59
3.64	5482	6214	5848	6800.42
3.65	5554	6274	5916	6602.55
3.66	5624	6335	5982	6405.98
3.67	5691	6397	6046	6210.72
3.68	5755	6457	6108	6016.76
3.69	5817	6515	6168	5824.1
3.7	5877	6570	6226	5632.74
3.71	5935	6624	6283	5442.68
3.72	5989	6679	6337	5253.92
3.73	6044	6729	6390	5066.47
3.74	6096	6777	6440	4880.32
3.75	6146	6825	6489	4695.47
3.76	6193	6873	6536	4511.92
3.77	6238	6919	6581	4329.67
3.78	6281	6962	6624	4148.73
3.79	6323	7003	6666	3969.09
3.8	6362	7043	6706	3790.75
3.81	6401	7083	6744	3613.71
3.82	6436	7119	6780	3437.97
3.83	6471	7152	6814	3263.54
3.84	6503	7185	6847	3090.4
3.85	6534	7217	6878	2918.57
3.86	6565	7247	6907	2748.04
3.87	6593	7276	6934	2578.81
3.88	6618	7303	6960	2410.89
3.89	6641	7330	6984	2244.27
3.9	6663	7353	7007	2078.94
3.91	6681	7375	7027	1914.92
3.92	6699	7396	7047	1752.21
3.93	6715	7415	7064	1590.79
3.94	6730	7432	7080	1430.68
3.95	6744	7447	7094	1271.86
3.96	6755	7462	7107	1114.35
3.97	6767	7474	7118	958.14
3.98	6775	7486	7128	803.24
3.99	6781	7495	7136	649.63
4	6787	7503	7142	497.33
4.01	6792	7509	7147	346.33
4.02	6795	7514	7151	196.63
4.03	6797	7518	7153	48.23
4.04	6796	7519	7153	-98.86
4.05	6795	7520	7152	-244.66
4.06	6791	7517	7150	-389.15
4.07	6786	7515	7146	-532.34
4.08	6782	7512	7140	-674.23
4.09	6773	7504	7134	-814.81
4.1	6764	7497	7126	-954.1
4.11	6754	7488	7116	-1092.08
4.12	6740	7477	7105	-1228.76
4.13	6727	7465	7093	-1364.14
4.14	6711	7451	7079	-1498.21
4.15	6697	7438	7064	-1630.99
4.16	6678	7422	7048	-1762.46
4.17	6658	7405	7030	-1892.63
4.18	6638	7387	7011	-2021.5
4.19	6616	7368	6991	-2149.07
4.2	6593	7348	6970	-2275.33
4.21	6569	7326	6947	-2400.3
4.22	6545	7303	6923	-2523.96
4.23	6519	7278	6898	-2646.32
4.24	6491	7252	6871	-2767.38
4.25	6463	7225	6844	-2887.13
4.26	6432	7196	6815	-3005.59
4.27	6401	7168	6785	-3122.74
4.28	6369	7138	6753	-3238.59
4.29	6335	7107	6721	-3353.14
4.3	6299	7077	6687	-3466.38
4.31	6262	7045	6653	-3578.33
4.32	6224	7009	6617	-3688.97
4.33	6185	6976	6580	-3798.31
4.34	6144	6941	6542	-3906.35
4.35	6101	6904	6503	-4013.05
4.36	6058	6865	6463	-4118.25
4.37	6015	6825	6422	-4221.9
4.38	5971	6787	6380	-4324.02
4.39	5927	6745	6336	-4424.61
4.4	5881	6702	6292	-4523.65
4.41	5831	6660	6247	-4621.15
4.42	5782	6618	6201	-4717.11
4.43	5731	6572	6153	-4811.54
4.44	5681	6527	6105	-4904.42
4.45	5627	6483	6056	-4995.77
4.46	5571	6439	6006	-5085.58
4.47	5516	6391	5955	-5173.84
4.48	5463	6343	5904	-5260.57
4.49	5405	6294	5851	-5345.76
4.5	5347	6247	5798	-5429.41
4.51	5290	6198	5743	-5511.53
4.52	5228	6149	5688	-5592.1
4.53	5167	6100	5632	-5671.13
4.54	5105	6047	5576	-5748.63
4.55	5042	5996	5518	-5824.58
4.56	4975	5943	5460	-5899
4.57	4909	5894	5401	-5971.88
4.58	4842	5840	5341	-6043.21
4.59	4776	5785	5281	-6113.01
4.6	4707	5730	5220	-6181.27
4.61	4639	5674	5158	-6247.99
4.62	4570	5620	5095	-6313.18
4.63	4499	5566	5032	-6376.82
4.64	4429	5509	4968	-6438.92
4.65	4356	5454	4904	-6499.49
4.66	4284	5396	4839	-6558.51
4.67	4210	5340	4773	-6616
4.68	4134	5282	4707	-6671.95
4.69	4059	5226	4641	-6726.35
4.7	3983	5168	4573	-6779.22
4.71	3906	5108	4506	-6830.55
4.72	3829	5048	4437	-6880.34
4.73	3750	4989	4368	-6928.6
4.74	3671	4930	4299	-6975.31
4.75	3590	4873	4229	-7020.48
4.76	3509	4812	4159	-7064.12
4.77	3429	4753	4089	-7106.21
4.78	3345	4692	4017	-7146.77
4.79	3265	4633	3946	-7185.79
4.8	3183	4575	3874	-7223.27
4.81	3102	4514	3802	-7259.2
4.82	3017	4453	3729	-7293.6
4.83	2933	4392	3656	-7326.47
4.84	2848	4328	3583	-7357.79
4.85	2763	4266	3510	-7387.57
4.86	2677	4202	3436	-7415.81
4.87	2590	4137	3361	-7442.52
4.88	2504	4072	3287	-7467.69
4.89	2417	4011	3212	-7491.31
4.9	2330	3947	3137	-7513.4
4.91	2244	3885	3062	-7533.95
4.92	2156	3819	2987	-7552.96
4.93	2066	3753	2911	-7570.43
4.94	1978	3690	2836	-7586.36
4.95	1891	3629	2760	-7600.75
4.96	1798	3565	2684	-7613.6
4.97	1707	3501	2608	-7624.92
4.98	1618	3435	2532	-7634.69
4.99	1528	3373	2455	-7642.93
5	1437	3308	2379	-7649.62
5.01	1349	3244	2302	-7654.78
5.02	1259	3181	2226	-7658.4
5.03	1171	3117	2149	-7660.48
5.04	1080	3055	2073	-7661.02
5.05	991	2990	1996	-7660.02
5.06	899	2925	1919	-7657.48
5.07	809	2860	1843	-7653.41
5.08	718	2794	1766	-7647.79
5.09	632	2730	1690	-7640.64
5.1	540	2666	1613	-7631.94
5.11	456	2605	1537	-7621.71
5.12	366	2540	1461	-7609.94
5.13	278	2475	1385	-7596.63
5.14	188	2411	1309	-7581.77
5.15	102	2349	1233	-7565.39
5.16	14	2284	1157	-7547.46
5.17	-76	2221	1082	-7527.99
5.18	-165	2160	1006	-7506.98
5.19	-254	2096	931	-7484.44
5.2	-342	2035	857	-7460.35
5.21	-434	1973	782	-7434.73
5.22	-520	1912	708	-7407.56
5.23	-608	1850	634	-7378.86
5.24	-694	1789	560	-7348.62
5.25	-780	1729	486	-7316.84
5.26	-866	1670	413	-7283.52
5.27	-951	1612	340	-7248.66
5.28	-1035	1553	268	-7212.26
5.29	-1119	1494	196	-7174.33
5.3	-1203	1435	124	-7134.85
5.31	-1287	1376	53	-7093.84
5.32	-1375	1317	-18	-7051.28
5.33	-1458	1259	-89	-7007.19
5.34	-1542	1205	-159	-6961.56
5.35	-1628	1149	-229	-6914.39
5.36	-1712	1092	-298	-6865.68
5.37	-1798	1037	-366	-6815.43
5.38	-1878	981	-435	-6763.64
5.39	-1956	925	-502	-6710.31
5.4	-2036	872	-569	-6655.44
5.41	-2115	817	-636	-6599.04
5.42	-2193	764	-702	-6541.09
5.43	-2273	712	-767	-6481.61
5.44	-2351	658	-832	-6420.59
5.45	-2430	606	-896	-6358.02
5.46	-2507	555	-960	-6293.92
5.47	-2582	506	-1023	-6228.28
5.48	-2656	455	-1085	-6161.1
5.49	-2726	407	-1147	-6092.39
5.5	-2801	359	-1208	-6022.13
5.51	-2872	309	-1268	-5950.33
5.52	-2944	261	-1327	-5877
5.53	-3018	214	-1386	-5802.12
5.54	-3085	168	-1444	-5725.71
5.55	-3154	123	-1501	-5647.75
5.56	-3221	78	-1558	-5568.26
5.57	-3284	31	-1614	-5487.23
5.58	-3349	-14	-1668	-5404.66
5.59	-3414	-56	-1722	-5320.55
5.6	-3477	-98	-1776	-5234.9
5.61	-3539	-142	-1828	-5147.72
5.62	-3602	-184	-1879	-5058.99
5.63	-3663	-223	-1930	-4968.72
5.64	-3724	-268	-1980	-4876.92
5.65	-3783	-305	-2029	-4783.58
5.66	-3841	-341	-2076	-4688.69
