depth	min68.2%	max68.2%	best	accrate
3.58	5001	5804	5405	7986.15
3.59	5088	5876	5484	7781.2
3.6	5173	5945	5562	7577.55
3.61	5254	6016	5638	7375.2
3.62	5334	6085	5712	7174.14
3.63	5412	6152	5784	6974.38
3.64	5484	6219	5853	6775.92
3.65	5554	6281	5921	6578.76
3.66	5624	6343	5987	6382.9
3.67	5690	6402	6051	6188.33
3.68	5755	6461	6113	5995.06
3.69	5817	6516	6172	5803.09
3.7	5879	6572	6230	5612.42
3.71	5939	6625	6287	5423.04
3.72	5995	6679	6341	5234.97
3.73	6049	6731	6393	5048.19
3.74	6101	6782	6444	4862.71
3.75	6149	6832	6492	4678.52
3.76	6196	6879	6539	4495.64
3.77	6243	6924	6584	4314.05
3.78	6284	6968	6627	4133.76
3.79	6324	7009	6669	3954.76
3.8	6364	7050	6708	3777.07
3.81	6400	7087	6746	3600.67
3.82	6436	7122	6782	3425.57
3.83	6470	7155	6816	3251.77
3.84	6503	7188	6849	3079.27
3.85	6533	7220	6879	2908.06
3.86	6562	7250	6909	2738.16
3.87	6588	7279	6936	2569.55
3.88	6611	7305	6962	2402.23
3.89	6634	7331	6986	2236.22
3.9	6655	7354	7008	2071.5
3.91	6674	7375	7029	1908.09
3.92	6692	7395	7048	1745.96
3.93	6708	7414	7065	1585.14
3.94	6722	7431	7081	1425.62
3.95	6734	7447	7095	1267.39
3.96	6746	7461	7108	1110.46
3.97	6757	7472	7119	954.83
3.98	6766	7482	7129	800.49
3.99	6773	7491	7137	647.46
4	6778	7497	7143	495.72
4.01	6779	7504	7148	345.28
4.02	6782	7508	7152	196.14
4.03	6783	7512	7154	48.29
4.04	6781	7514	7154	-98.25
4.05	6779	7515	7153	-243.5
4.06	6775	7516	7151	-387.45
4.07	6771	7515	7147	-530.11
4.08	6766	7510	7141	-671.46
4.09	6759	7505	7135	-811.52
4.1	6750	7497	7127	-950.28
4.11	6739	7488	7117	-1087.74
4.12	6727	7477	7106	-1223.91
4.13	6714	7466	7094	-1358.77
4.14	6698	7452	7080	-1492.34
4.15	6683	7438	7065	-1624.61
4.16	6666	7422	7049	-1755.59
4.17	6650	7406	7032	-1885.26
4.18	6630	7389	7013	-2013.64
4.19	6609	7371	6993	-2140.72
4.2	6586	7349	6971	-2266.5
4.21	6562	7330	6949	-2390.98
4.22	6538	7307	6925	-2514.17
4.23	6510	7283	6900	-2636.06
4.24	6483	7257	6873	-2756.65
4.25	6457	7230	6846	-2875.94
4.26	6428	7202	6817	-2993.94
4.27	6397	7173	6787	-3110.63
4.28	6367	7143	6756	-3226.03
4.29	6331	7112	6724	-3340.13
4.3	6297	7080	6690	-3452.94
4.31	6263	7046	6656	-3564.44
4.32	6226	7014	6620	-3674.65
4.33	6189	6977	6583	-3783.56
4.34	6148	6940	6545	-3891.17
4.35	6108	6905	6506	-3997.45
4.36	6065	6867	6466	-4102.23
4.37	6020	6828	6425	-4205.48
4.38	5975	6789	6383	-4307.19
4.39	5927	6750	6340	-4407.37
4.4	5881	6708	6296	-4506.02
4.41	5835	6667	6251	-4603.14
4.42	5785	6625	6205	-4698.72
4.43	5735	6581	6158	-4792.77
4.44	5684	6536	6110	-4885.28
4.45	5634	6490	6061	-4976.26
4.46	5580	6445	6012	-5065.71
4.47	5524	6397	5961	-5153.62
4.48	5469	6352	5909	-5240.01
4.49	5413	6305	5857	-5324.86
4.5	5355	6257	5804	-5408.17
4.51	5296	6210	5750	-5489.95
4.52	5237	6162	5695	-5570.2
4.53	5177	6111	5639	-5648.92
4.54	5114	6060	5583	-5726.1
4.55	5052	6009	5525	-5801.75
4.56	4987	5954	5467	-5875.86
4.57	4924	5904	5409	-5948.44
4.58	4859	5851	5349	-6019.49
4.59	4793	5797	5289	-6089.01
4.6	4725	5741	5228	-6156.99
4.61	4653	5684	5166	-6223.44
4.62	4582	5628	5104	-6288.36
4.63	4511	5574	5041	-6351.74
4.64	4441	5518	4978	-6413.59
4.65	4368	5461	4914	-6473.9
4.66	4296	5403	4849	-6532.69
4.67	4222	5349	4784	-6589.94
4.68	4148	5290	4718	-6645.65
4.69	4072	5234	4651	-6699.84
4.7	3995	5176	4584	-6752.49
4.71	3916	5120	4517	-6803.6
4.72	3837	5062	4449	-6853.19
4.73	3759	5003	4380	-6901.23
4.74	3679	4943	4311	-6947.75
4.75	3600	4884	4242	-6992.73
4.76	3520	4825	4172	-7036.18
4.77	3436	4761	4101	-7078.1
4.78	3356	4702	4031	-7118.48
4.79	3276	4641	3959	-7157.33
4.8	3195	4579	3888	-7194.65
4.81	3111	4518	3816	-7230.44
4.82	3028	4455	3744	-7264.69
4.83	2945	4395	3671	-7297.4
4.84	2859	4335	3598	-7328.59
4.85	2774	4273	3525	-7358.24
4.86	2688	4213	3451	-7386.35
4.87	2604	4151	3377	-7412.94
4.88	2518	4091	3303	-7437.99
4.89	2431	4025	3229	-7461.51
4.9	2343	3963	3154	-7483.49
4.91	2259	3901	3079	-7503.94
4.92	2171	3835	3004	-7522.86
4.93	2083	3770	2929	-7540.24
4.94	1995	3706	2854	-7556.09
4.95	1911	3645	2778	-7570.41
4.96	1821	3583	2702	-7583.2
4.97	1731	3518	2627	-7594.45
4.98	1644	3455	2551	-7604.16
4.99	1558	3391	2475	-7612.35
5	1468	3328	2398	-7619
5.01	1378	3263	2322	-7624.12
5.02	1289	3201	2246	-7627.7
5.03	1201	3138	2170	-7629.75
5.04	1111	3074	2093	-7630.27
5.05	1021	3010	2017	-7629.26
