depth	min68.2%	max68.2%	best	accrate
3.58	4994	5791	5392	-132338.84
3.59	3339	4792	4069	-130958.63
3.6	1467	4035	2759	-129583.75
3.61	-417	3325	1463	-128214.19
3.62	-2289	2623	181	-126849.95
3.63	-4137	1937	-1087	-125491.03
3.64	-5961	1251	-2342	-124137.43
3.65	-7773	585	-3584	-122789.15
3.66	-9557	-82	-4811	-121446.19
3.67	-11332	-743	-6026	-120108.55
3.68	-13100	-1388	-7227	-118776.24
3.69	-14842	-2038	-8415	-117449.24
3.7	-16550	-2668	-9589	-116127.57
3.71	-18246	-3296	-10751	-114811.21
3.72	-19927	-3901	-11899	-113500.18
3.73	-21586	-4528	-13034	-112194.47
3.74	-23237	-5133	-14156	-110894.08
3.75	-24860	-5720	-15265	-109599.01
3.76	-26465	-6307	-16361	-108309.26
3.77	-28044	-6899	-17444	-107024.83
3.78	-29601	-7482	-18514	-105745.72
3.79	-31146	-8052	-19571	-104471.94
3.8	-32666	-8629	-20616	-103203.47
3.81	-34171	-9195	-21648	-101940.33
3.82	-35648	-9750	-22668	-100682.5
3.83	-37111	-10295	-23674	-99430
3.84	-38556	-10821	-24669	-98182.82
3.85	-39985	-11354	-25650	-96940.96
3.86	-41408	-11883	-26620	-95704.42
3.87	-42809	-12400	-27577	-94473.2
3.88	-44188	-12915	-28522	-93247.3
3.89	-45544	-13412	-29454	-92026.72
3.9	-46891	-13914	-30374	-90811.47
3.91	-48217	-14415	-31283	-89601.53
3.92	-49520	-14906	-32179	-88396.91
3.93	-50802	-15394	-33063	-87197.62
3.94	-52065	-15877	-33934	-86003.65
3.95	-53311	-16351	-34795	-84815
3.96	-54542	-16818	-35643	-83631.66
3.97	-55758	-17275	-36479	-82453.65
3.98	-56959	-17725	-37304	-81280.96
3.99	-58140	-18174	-38116	-80113.6
4	-59304	-18618	-38917	-78951.55
4.01	-60452	-19055	-39707	-77794.82
4.02	-61580	-19485	-40485	-76643.41
4.03	-62693	-19905	-41251	-75497.33
4.04	-63792	-20325	-42006	-74356.57
4.05	-64873	-20739	-42750	-73221.12
4.06	-65937	-21150	-43482	-72091
4.07	-66982	-21548	-44203	-70966.2
4.08	-68011	-21937	-44913	-69846.72
4.09	-69026	-22322	-45611	-68732.56
4.1	-70024	-22701	-46298	-67623.72
4.11	-70999	-23069	-46975	-66520.2
4.12	-71957	-23437	-47640	-65422
4.13	-72901	-23808	-48294	-64329.13
4.14	-73831	-24177	-48937	-63241.57
4.15	-74744	-24540	-49570	-62159.34
4.16	-75641	-24898	-50191	-61082.42
4.17	-76522	-25244	-50802	-60010.83
4.18	-77389	-25580	-51402	-58944.56
4.19	-78237	-25910	-51992	-57883.61
4.2	-79070	-26234	-52571	-56827.98
4.21	-79888	-26550	-53139	-55777.67
4.22	-80690	-26864	-53697	-54732.68
4.23	-81477	-27168	-54244	-53693.01
4.24	-82249	-27469	-54781	-52658.67
4.25	-83005	-27769	-55308	-51629.64
4.26	-83744	-28067	-55824	-50605.94
4.27	-84469	-28360	-56330	-49587.55
4.28	-85184	-28647	-56826	-48574.49
4.29	-85878	-28922	-57312	-47566.75
4.3	-86557	-29192	-57787	-46564.33
4.31	-87217	-29454	-58253	-45567.23
4.32	-87865	-29710	-58709	-44575.45
4.33	-88502	-29961	-59154	-43588.99
4.34	-89123	-30207	-59590	-42607.85
4.35	-89735	-30448	-60016	-41632.03
4.36	-90333	-30686	-60433	-40661.54
4.37	-90917	-30920	-60839	-39696.36
4.38	-91483	-31142	-61236	-38736.51
4.39	-92033	-31363	-61623	-37781.98
4.4	-92567	-31584	-62001	-36832.76
4.41	-93089	-31800	-62370	-35888.87
4.42	-93600	-32010	-62729	-34950.3
4.43	-94097	-32220	-63078	-34017.05
4.44	-94580	-32421	-63418	-33089.12
4.45	-95049	-32610	-63749	-32166.52
4.46	-95504	-32798	-64071	-31249.23
4.47	-95945	-32984	-64383	-30337.26
4.48	-96372	-33167	-64687	-29430.62
4.49	-96786	-33345	-64981	-28529.29
4.5	-97187	-33521	-65266	-27633.29
4.51	-97576	-33692	-65543	-26742.61
4.52	-97952	-33859	-65810	-25857.25
4.53	-98314	-34019	-66069	-24977.2
4.54	-98663	-34169	-66318	-24102.48
4.55	-99000	-34314	-66559	-23233.09
4.56	-99323	-34453	-66792	-22369.01
4.57	-99634	-34590	-67015	-21510.25
4.58	-99932	-34726	-67230	-20656.81
4.59	-100217	-34854	-67437	-19808.7
4.6	-100485	-34979	-67635	-18965.9
4.61	-100740	-35100	-67825	-18128.43
4.62	-100983	-35216	-68006	-17296.28
4.63	-101216	-35326	-68179	-16469.45
4.64	-101437	-35432	-68344	-15647.93
4.65	-101649	-35540	-68500	-14831.74
4.66	-101849	-35639	-68649	-14020.88
4.67	-102037	-35734	-68789	-13215.33
4.68	-102213	-35823	-68921	-12415.1
4.69	-102379	-35908	-69045	-11620.19
4.7	-102537	-35985	-69161	-10830.61
4.71	-102683	-36061	-69270	-10046.34
4.72	-102817	-36134	-69370	-9267.4
4.73	-102940	-36202	-69463	-8493.78
4.74	-103051	-36266	-69548	-7725.47
4.75	-103152	-36327	-69625	-6962.49
4.76	-103235	-36381	-69695	-6204.83
4.77	-103308	-36431	-69757	-5452.49
4.78	-103374	-36477	-69811	-4705.47
