depth	min68.2%	max68.2%	best	accrate
3.58	81079	202596	142113	-245748.22
3.59	79744	199027	139655	-243739.39
3.6	78420	195478	137218	-241737.62
3.61	77098	191960	134801	-239742.92
3.62	75791	188470	132403	-237755.29
3.63	74494	185011	130026	-235774.73
3.64	73207	181580	127668	-233801.23
3.65	71931	178179	125330	-231834.8
3.66	70665	174816	123012	-229875.43
3.67	69409	171476	120713	-227923.14
3.68	68164	168167	118434	-225977.91
3.69	66931	164890	116174	-224039.75
3.7	65712	161633	113933	-222108.65
3.71	64499	158403	111712	-220184.63
3.72	63302	155204	109511	-218267.67
3.73	62115	152040	107328	-216357.78
3.74	60936	148894	105164	-214454.95
3.75	59764	145782	103020	-212559.19
3.76	58602	142697	100894	-210670.5
3.77	57450	139641	98787	-208788.88
3.78	56308	136627	96700	-206914.32
3.79	55176	133639	94630	-205046.83
3.8	54060	130673	92580	-203186.41
3.81	52947	127722	90548	-201333.06
3.82	51845	124791	88535	-199486.77
3.83	50747	121892	86540	-197647.55
3.84	49662	119022	84563	-195815.4
3.85	48588	116184	82605	-193990.31
3.86	47524	113370	80665	-192172.29
3.87	46463	110579	78744	-190361.34
3.88	45406	107830	76840	-188557.46
3.89	44374	105108	74954	-186760.64
3.9	43350	102420	73087	-184970.89
3.91	42332	99766	71237	-183188.21
3.92	41313	97133	69405	-181412.6
3.93	40312	94519	67591	-179644.05
3.94	39329	91928	65795	-177882.57
3.95	38342	89350	64016	-176128.15
3.96	37372	86814	62255	-174380.81
3.97	36405	84302	60511	-172640.53
3.98	35462	81818	58784	-170907.32
3.99	34518	79359	57075	-169181.17
4	33581	76926	55383	-167462.1
4.01	32661	74499	53709	-165750.09
4.02	31766	72108	52051	-164045.14
4.03	30854	69736	50411	-162347.27
4.04	29968	67397	48787	-160656.46
4.05	29081	65087	47181	-158972.72
4.06	28203	62784	45591	-157296.05
4.07	27333	60508	44018	-155626.44
4.08	26468	58257	42462	-153963.9
4.09	25618	56009	40922	-152308.43
4.1	24781	53816	39399	-150660.02
4.11	23941	51634	37893	-149018.69
4.12	23123	49493	36402	-147384.42
4.13	22300	47375	34929	-145757.21
4.14	21477	45278	33471	-144137.08
4.15	20661	43200	32030	-142524.01
4.16	19879	41136	30604	-140918.01
4.17	19085	39102	29195	-139319.07
4.18	18318	37096	27802	-137727.21
4.19	17555	35123	26425	-136142.41
4.2	16810	33161	25063	-134564.68
4.21	16058	31229	23718	-132994.01
4.22	15320	29314	22388	-131430.41
4.23	14580	27433	21073	-129873.88
4.24	13867	25575	19775	-128324.42
4.25	13154	23736	18491	-126782.02
4.26	12447	21922	17224	-125246.69
4.27	11754	20130	15971	-123718.43
4.28	11073	18380	14734	-122197.24
4.29	10382	16623	13512	-120683.11
4.3	9719	14889	12305	-119176.05
4.31	9053	13185	11113	-117676.06
4.32	8381	11497	9937	-116183.13
4.33	7692	9847	8775	-114697.27
4.34	6982	8262	7628	-113218.48
4.35	6094	6892	6496	-111746.76
4.36	4752	5999	5378	-110282.1
4.37	3244	5313	4275	-108824.51
4.38	1705	4665	3187	-107373.99
4.39	176	4046	2113	-105930.54
4.4	-1334	3452	1054	-104494.15
4.41	-2829	2851	9	-103064.83
4.42	-4295	2254	-1022	-101642.58
4.43	-5746	1688	-2038	-100227.39
4.44	-7168	1117	-3040	-98819.27
4.45	-8576	563	-4028	-97418.22
4.46	-9956	10	-5003	-96024.24
4.47	-11333	-544	-5963	-94637.32
4.48	-12689	-1083	-6909	-93257.47
4.49	-14015	-1624	-7842	-91884.69
4.5	-15327	-2138	-8761	-90518.97
4.51	-16629	-2652	-9666	-89160.32
4.52	-17900	-3162	-10557	-87808.74
4.53	-19176	-3661	-11436	-86464.23
4.54	-20405	-4155	-12300	-85126.78
4.55	-21612	-4636	-13151	-83796.41
4.56	-22800	-5113	-13989	-82473.09
4.57	-23976	-5584	-14814	-81156.85
4.58	-25128	-6052	-15626	-79847.67
4.59	-26262	-6512	-16424	-78545.56
4.6	-27379	-6959	-17210	-77250.52
4.61	-28489	-7392	-17982	-75962.54
4.62	-29564	-7815	-18742	-74681.63
4.63	-30626	-8246	-19489	-73407.79
4.64	-31663	-8663	-20223	-72141.02
4.65	-32684	-9081	-20944	-70881.31
4.66	-33701	-9493	-21653	-69628.67
4.67	-34700	-9897	-22349	-68383.1
4.68	-35669	-10298	-23033	-67144.6
4.69	-36623	-10693	-23704	-65913.16
4.7	-37567	-11073	-24364	-64688.79
4.71	-38481	-11455	-25010	-63471.49
4.72	-39375	-11822	-25645	-62261.25
4.73	-40250	-12190	-26268	-61058.08
4.74	-41113	-12545	-26878	-59861.98
4.75	-41956	-12897	-27477	-58672.94
4.76	-42781	-13238	-28064	-57490.98
4.77	-43585	-13570	-28639	-56316.08
4.78	-44383	-13897	-29202	-55148.25
4.79	-45168	-14217	-29753	-53987.48
4.8	-45928	-14532	-30293	-52833.78
4.81	-46663	-14843	-30821	-51687.15
4.82	-47383	-15149	-31338	-50547.59
4.83	-48089	-15447	-31844	-49415.09
4.84	-48775	-15735	-32338	-48289.66
4.85	-49453	-16017	-32821	-47171.3
4.86	-50124	-16299	-33293	-46060.01
4.87	-50768	-16573	-33753	-44955.78
4.88	-51398	-16845	-34203	-43858.62
4.89	-52017	-17107	-34641	-42768.52
4.9	-52621	-17360	-35069	-41685.5
4.91	-53206	-17612	-35486	-40609.54
4.92	-53773	-17856	-35892	-39540.65
4.93	-54320	-18095	-36287	-38478.83
4.94	-54850	-18324	-36672	-37424.07
4.95	-55367	-18551	-37046	-36376.38
4.96	-55871	-18768	-37410	-35335.76
4.97	-56365	-18985	-37764	-34302.2
4.98	-56845	-19192	-38107	-33275.71
4.99	-57309	-19394	-38439	-32256.29
5	-57758	-19592	-38762	-31243.94
5.01	-58187	-19785	-39074	-30238.65
5.02	-58601	-19972	-39377	-29240.43
5.03	-59002	-20153	-39669	-28249.28
5.04	-59390	-20330	-39952	-27265.2
5.05	-59759	-20497	-40224	-26288.18
5.06	-60115	-20659	-40487	-25318.23
5.07	-60457	-20817	-40740	-24355.35
5.08	-60787	-20966	-40984	-23399.53
5.09	-61106	-21119	-41218	-22450.79
5.1	-61409	-21266	-41442	-21509.1
5.11	-61702	-21409	-41657	-20574.49
5.12	-61984	-21541	-41863	-19646.94
5.13	-62249	-21660	-42060	-18726.46
5.14	-62496	-21780	-42247	-17813.05
5.15	-62732	-21903	-42425	-16906.71
5.16	-62954	-22018	-42594	-16007.43
5.17	-63164	-22125	-42754	-15115.22
5.18	-63366	-22227	-42905	-14230.08
5.19	-63556	-22323	-43048	-13352
5.2	-63733	-22414	-43181	-12480.99
5.21	-63893	-22498	-43306	-11617.05
5.22	-64039	-22581	-43422	-10760.18
5.23	-64176	-22659	-43530	-9910.37
5.24	-64302	-22733	-43629	-9067.63
5.25	-64417	-22802	-43720	-8231.96
5.26	-64520	-22863	-43802	-7403.35
5.27	-64612	-22928	-43876	-6581.81
5.28	-64691	-22984	-43942	-5767.34
5.29	-64757	-23033	-43999	-4959.94
5.3	-64812	-23080	-44049	-4159.6
5.31	-64856	-23116	-44091	-3366.34
5.32	-64883	-23142	-44124	-2580.13
5.33	-64895	-23170	-44150	-1801
5.34	-64895	-23195	-44168	-1028.93
5.35	-64888	-23220	-44178	-263.93
5.36	-64875	-23241	-44181	494
5.37	-64847	-23255	-44176	1244.87
5.38	-64821	-23266	-44164	1988.67
5.39	-64775	-23275	-44144	2725.4
5.4	-64710	-23277	-44116	3455.06
5.41	-64634	-23273	-44082	4177.66
5.42	-64547	-23262	-44040	4893.19
5.43	-64454	-23252	-43991	5601.65
5.44	-64350	-23238	-43935	6303.04
5.45	-64236	-23218	-43872	6997.37
5.46	-64114	-23198	-43802	7684.63
5.47	-63995	-23171	-43725	8364.82
5.48	-63866	-23140	-43642	9037.95
5.49	-63723	-23108	-43551	9704.01
5.5	-63566	-23061	-43454	10363
5.51	-63398	-23014	-43351	11014.93
5.52	-63224	-22966	-43240	11659.78
5.53	-63039	-22926	-43124	12297.57
5.54	-62848	-22871	-43001	12928.29
5.55	-62651	-22805	-42872	13551.95
5.56	-62445	-22738	-42736	14168.54
5.57	-62231	-22667	-42594	14778.06
5.58	-62008	-22595	-42447	15380.51
5.59	-61774	-22524	-42293	15975.9
5.6	-61535	-22442	-42133	16564.22
5.61	-61288	-22357	-41967	17145.47
5.62	-61028	-22271	-41796	17719.65
5.63	-60767	-22184	-41619	18286.77
5.64	-60492	-22093	-41436	18846.82
5.65	-60202	-21998	-41247	19399.81
5.66	-59910	-21905	-41053	19945.72
5.67	-59606	-21801	-40854	20484.57
5.68	-59300	-21697	-40649	21016.35
5.69	-58979	-21594	-40439	21541.07
5.7	-58660	-21486	-40224	22058.71
5.71	-58338	-21370	-40003	22569.29
5.72	-58002	-21252	-39777	23072.8
5.73	-57666	-21133	-39547	23569.25
5.74	-57329	-21009	-39311	24058.63
5.75	-56980	-20886	-39070	24540.94
5.76	-56616	-20766	-38825	25016.18
5.77	-56242	-20645	-38575	25484.36
5.78	-55859	-20517	-38320	25945.47
5.79	-55474	-20387	-38060	26399.51
5.8	-55094	-20253	-37796	26846.48
5.81	-54697	-20110	-37528	27286.39
5.82	-54285	-19964	-37255	27719.23
5.83	-53873	-19818	-36978	28145
5.84	-53459	-19671	-36696	28563.71
5.85	-53046	-19517	-36411	28975.35
5.86	-52626	-19357	-36121	29379.92
5.87	-52201	-19199	-35827	29777.42
5.88	-51774	-19040	-35529	30167.86
5.89	-51343	-18878	-35228	30551.23
5.9	-50898	-18710	-34922	30927.53
5.91	-50452	-18541	-34613	31296.76
5.92	-49997	-18369	-34300	31658.93
5.93	-49537	-18198	-33983	32014.03
5.94	-49075	-18021	-33663	32362.06
5.95	-48615	-17846	-33340	32703.03
5.96	-48134	-17671	-33013	33036.93
5.97	-47661	-17486	-32682	33363.76
5.98	-47189	-17298	-32349	33683.52
5.99	-46708	-17109	-32012	33996.22
6	-46217	-16920	-31672	34301.85
6.01	-45726	-16728	-31329	34600.41
6.02	-45232	-16536	-30983	34891.91
6.03	-44730	-16349	-30634	35176.34
6.04	-44214	-16156	-30282	35453.7
6.05	-43704	-15961	-29928	35723.99
6.06	-43186	-15761	-29570	35987.22
6.07	-42664	-15547	-29211	36243.38
6.08	-42145	-15342	-28848	36492.47
6.09	-41621	-15143	-28483	36734.49
6.1	-41089	-14934	-28116	36969.45
6.11	-40559	-14721	-27746	37197.34
6.12	-40022	-14514	-27374	37418.16
6.13	-39477	-14304	-27000	37631.92
